id,text,language,language_name,true_label,llm_label,confidence,reasoning,polarizing_features,us_vs_them,moral_language,hostile_tone,error
zh_e59ce789a1d83d91cb7d362efaa3bf23,好久都没有见过那么干净的白人班级了，一个黑乐色都没有,zho,Chinese,1,,,,[],,,,Expecting value: line 1 column 1 (char 0)
zh_ea3ef5567698fc40fa631baf7f697a16,楼主这讽刺太有力度把跪虫族和国际鬼子虫类及其它们后代虫混描写淋漓尽致,zho,Chinese,1,,,,[],,,,Expecting value: line 1 column 1 (char 0)
zh_b73779673957f6dab5688c27a6747458,你这样说让那些标榜找个外国对象倍有面的人还怎么装b�,zho,Chinese,1,,,,[],,,,Expecting value: line 1 column 1 (char 0)
zh_f7164a14baafbcb6ec387b0217a1c766,说明一下，我只关爱自己身边的女性，比如老婆女儿等，别的女人关我鸟事。v,zho,Chinese,1,,,,[],,,,Expecting value: line 1 column 1 (char 0)
zh_1be506c572b805494787f548671a5bb7,基佬还说之前视频里的不是它，它都说照片是它爆出来的了。,zho,Chinese,1,,,,[],,,,Expecting value: line 1 column 1 (char 0)
zh_33bdf0afd970adb37e3d6a5269ef7cf5,盗版真是恶心，我从来都不黑人的，都想黑了,zho,Chinese,1,,,,[],,,,Expecting value: line 1 column 1 (char 0)
zh_34079348a6559446c580bd538abc4507,别的不说，我在知乎骂黑人被小黑屋，删评论好多次了，,zho,Chinese,1,,,,[],,,,Expecting value: line 1 column 1 (char 0)
zh_d9a2d81c9768a4611bc5f723b04e2fba,白种人于黄种人之间的战争建议修改成西方强盗和东亚人民的战争。写的很好 赞了,zho,Chinese,1,,,,[],,,,Expecting value: line 1 column 1 (char 0)
zh_4957b7ae1d892ec97a7effa0bc3ab20a,所谓我吃的盐比你吃的饭还多这句话真的很映衬他们,zho,Chinese,1,,,,[],,,,Expecting value: line 1 column 1 (char 0)
zh_e5d3c445a681d2eb70edd5fdff19b362,是男挙定义宠女人的男人为狗，什么叫喜欢当狗。,zho,Chinese,1,,,,[],,,,Expecting value: line 1 column 1 (char 0)
