id,text,stereotype,vilification,dehumanization,extreme_language,lack_of_empathy,invalidation
amh_6713e86058c564a4b874dd62227b7fbc,ወፈፌ ቀን አልፎ ዕብድ ቀን ሲመጣ፣ ሰይጣን ፀበል ገብቶ ሰው ከሰይጣን ወጣ።,1,0,0,0,0,0
amh_50c28694a056e584ee76da86ed1875ef,የአማራ ባንክ የምስጋና እና የዕውቅና መርሐ-ግብር አማራ ባንክ ከባንክ ባሻገር!,0,0,0,0,0,0
amh_3fe8faab2cf4c60b9bed28eed5f1c864,ራያ ግንባር ጎብዬ መከላከያ፣ የአማራ ልዩ ሀይል እና የምስራቅ አማራ ፋኖ ጎብዬ,0,0,0,0,0,0
amh_9b7badaab07f0e9e3dd77b99894bbb9d,ሩሲያ ቴርሞባሪክ ቦምብ ከመጠቀሟ ጋር ተያይዞ መላው አውሮፓ ላይ ጭንቀት ነግሷል,0,0,0,0,0,0
amh_be6049aa059a1ccfce6077d0cb8fd9f2,ዮኒ ማኛ ለማኝ ስግብግብ ሚዲዳዎችን ዱቄት በዱቄት። እውነት ነው በጣም ያናዳሉ።,0,0,1,0,0,0
amh_1d92c7b374ec66810d2a7f8575482c2e,መወገዝ ያለበት ኦነግ ነው አመራሮቹም ኦነግ እኛ ነን ብለዋል - ኤርሚያስ ለገሰ,0,1,0,1,1,0
amh_1531dfe324641aa1ac8992cee693ecf3,ኢትዮዽያ እንደገር ምን በደለች ኢትዮጵያ እውነት ለትግራይ ህዝብ ጠላት ነች ወይ,0,0,0,0,0,0
amh_9cf75cf4d2bbacb619e187e11059001f,ነጃሺ ሰልሟል የሚሉ በሙሉ አክራሪ ሙስሊሞች ናቸው።  ዲያቆን ዳንዔል ክብረት,1,0,0,0,1,1
amh_07faa872b5e7f63443f8486b292703e5,የመፈንቅለ መንግስት ሴረኞቹ ለምን ተንጫጩ? ዛሬም ጁንታው ተንደባለለ ይቀጥላል።,1,1,0,1,1,0
amh_d45535621bf699693f420beedc7c49cf,የግድቡን ሂደት የማስቆም ሴራ ከሸፈ ሲሲ አስገዳጅ ፊርማ ለአካባቢው ሰላም ይላሉ,0,1,0,1,0,0
amh_9c0fa92cbd9fd75d2229219e987d7973,ለትግራይ የተያዘ በጀት ጁንታው ከአማራ ክልል የዘረፈውን ለማካካስ መዋል አለበት,1,1,0,0,0,0
amh_12ba3dcd76927b1337a36045890c04d3,አህባሾች ወደ መስጂድ እንዲፈረጥጡ ተደርገዋል! ምድረ ቦቅቧቃ ሁላ ተመልከቷቸው!!,1,1,0,1,0,0
amh_cbf9909c0c3ed6ca50f042d06d03910e,ልዩ ዝግጅት በአማራ ተኮር ጭፍጨፋ ዙሪያ ሁለት ድርጅቶች ያወጡት አነጋጋሪ መግለጫ,0,1,0,1,0,0
amh_7431bff5fc169a67dc807f45bf7265ea,ወያኔ ዳግም በአፋር ላይ #ቆረጣ የሚባል ነገር አይሞክርም። #በራህሌ_ምስክር_ነው,0,0,0,1,0,1
amh_f7485e11a92b335108b857c4d4719315,ይታሰራል እንጅ መች ይዋጣል ወርቅ #ፋኖ ተደራጅተህ ክላሽህን 'ጠበቅ !! #ራዮች,0,0,0,0,0,0
amh_7cfa4ca48fbe722a0694673b1240da4c,ፋኖ! ብዙዎች ድንቅ ሐገራዊ የቴዲ አፍሮ ግጥም በማለት እየተቀባበሉት ያሉት ግጥም,0,0,0,0,0,0
amh_56c5e26e739b214cb21dacd9e5fdddb1,ሰበር ወደ አበርገሌ በመጠጋት ላይ የነበረው የህወሓት ጦር በአየር ኃይል ተደመሰሰ,1,0,0,1,0,1
