id,text,stereotype,vilification,dehumanization,extreme_language,lack_of_empathy,invalidation
ur_8ac0c48afb50f83bbedb33bd18cf1022,"[: ""' ': نیا پاکستان کے لئے نیا نظام چاہئے - #بلےکانشان_نیاپاکستان",1,1,1,1,1,1
ur_e9cae36e23364f9c60bc2ad6a05efae0,#DhokayBaazPTI آدھا مہاجر کے بعد پورا لاہوری @USER مہاجر کارڈ کھیلتے ہوئے میرے ساتھ میانداد تھا فلاں تھا فلاں تھا,1,1,1,1,1,1
ur_7bceda55247c511154b3fda8af25beb8,ناموس رسالت ص کی پاسداری کرنے والے علماء وکارکنان ہمارے سر کے تاج ہیں. #عاشقان_رسول_کورہاکرو,1,0,0,1,0,1
ur_059734430cba2fecdf7da2eb774eb951,پی ٹی آئی اورایم کیوایم پارلیمانی نظام کے خلاف سازشوں میں مصروف ہیں،بلاول بھٹو,1,1,1,0,0,0
ur_0638a23d14b09298aaa03e607a201fc4,#AasiaBibi #pakistan #HangAsiaAsPerLaw #blasphemy #AasiaBibi گستاخ رسول کل بھی واجب القتل تھا آج بھی ہے  اور قیامت تک رہیگا سپریم کورٹ کا فیصلہ 👟جوتے👞 کی نوک پر ہم نہیں مانتے😚 #NayaPakistan @USER,0,1,0,1,0,0
ur_4332d8d0600b81856c9dc3a6625f5318,پاکستان کو فرقہ واریت اور لسانیت سے پاک ملک بنائیں گے عمران خان,0,0,0,0,0,0
ur_c83121c8ad83c84dec15a544c1c039fc,فارن فنڈنگ کیس کا فیصلہ کل 10 بجے سنایا جائے گا,0,0,0,0,0,0
ur_c16c2fa71f2e2f293012364019d9c2da,حیدر آباد:حراست میں لیے گئے افراد کا تعلق قوم پرست جماعت سے ہے،پولیس,0,0,0,0,0,0
ur_2c0d671cd6f48a084e3e9e578c2b962c,دھرنوں کی سیاست سےگھبرانےوالےنہیں،وزیراعلیٰ پنجاب شہبازشریف,0,0,0,0,0,0
ur_a31cba50edba62b6561e968a19359ea8,فلم جواۓلینڈ کی ریلیز کا ذمہ دار ہر وہ ووٹر ہے جو ان لبرلزم ووٹ کے ذریعے قوت دیتا ہے#BanJoyLand_BehayaGovt,1,1,1,1,1,1
ur_b7d3d041a8d37377258c5cf3a55ec4d6,سندھ کی سرزمین پرغیرسندھی بھی آبادہیں،سندھیوں کےجذبےکی قدرکرنی چاہیے،حاجی عدیل,0,0,0,0,1,0
ur_5daafa3e673c1863605804806563d8a9,تمام سیاست دانوں کے لیے سبق ہے، اور پہنو کالے کوٹ! اور چلاؤ عدلیہ کے حق میں تحریکیں!,1,1,1,1,1,1
ur_e7efc7b4fa66a17383bbe5a864be32ec,شھباز شریف کا پرسنل سیکرٹری بھی ہیلی کاپٹر استعمال کرتا ہے- لیکن میڈیا اس پر نہیں بولے گا- لعنت بکاؤ میڈیا پر --- عوام کا پیسہ چوری کرکے بھی وہ بےگناہ --- @USER,1,1,1,1,1,1
